zip,Salary.Range.To
10007,90000
11212,44238.96
10004,150371
10458,78429
11201,73309
11373,63728
10038,17.9
10451,64662
10595,101848
10038,65000
11373,104182
11201,73986
10004,83151
46205,41675
10032,84641
NA,40.48
10457,44742.24
10038,1.00E+05
10007,85259
11373,94549
11373,55039
11373,161497
11101,81000
10038,115000
10007,150371
11214,322.4
11201,116391
10007,80000
10007,80000
10038,42799
10007,90000
10007,1.00E+05
11101,144145
11101,130939
10016,45766
11214,40.3
10007,130000
11373,104182
10038,18.03
11433,55870
10038,42799
10007,110000
NA,45632
11379,75591
11201,82030
10038,65000
11373,81535
10013,101853.72
10016,178873
10038,107770
11101,87000
10004,81535
10007,90000
NA,20.31
10004,118610
10038,82455
11101,81000
11373,141319
10007,53759
10007,61863
11373,178873
10016,75000
10016,83400
10004,98000
10007,56650
11373,194395
10038,81535
10038,67523
NA,24.74
10004,52524
11373,47016
11201,115000
10007,25.35
11217,40629
11101,161497
NA,82526.04
11201,110000
10038,42799
11101,72572
10007,135000
10038,126000
10004,60403
11101,68499
10007,70000
11433,120000
10007,89637
10007,29.9294
11101,78840
10038,65000
10004,70457
11373,194395
11221,81535
10038,81535
10004,92001
10023,96611.76
10038,109153
10004,52524
NA,56860.92
10007,75591
10004,78000
11236,486.72
11222,35167
10016,62272
11205,38.05
11370,120000
11214,389.97
11373,144413
10038,75000
11101,61936
10016,60.84
64161,101848
13755,83151
10007,62424
11373,64357
11373,71794
11101,78.59
11101,165000
11101,102600
10004,98000
11101,17.9
11101,23.9
10016,72816
10013,150371
10595,35.95
10007,75000
10016,14.58
10038,72505
10007,66591
10271,60403
10001,115000
10038,81535
10038,89008
10007,70000
,65000
11216,61387.2
10016,61280
11373,70353
52404,104182
-74.0109144,90000
11368,51250
11101,101853.72
,57720
11101,19.62
11373,77401
10007,66875
10007,41710
11101,23.76
10004,60403
11101,106222
11101,25.8
11101,23.9
10007,109669
11101,60.94
11373,113725
10004,79726
11373,109850
11101,68181
11373,113725
11373,79726
11101,101854
11101,118728
10007,77115
11373,178873
11373,91347
11101,144413
11101,144268
10301,149190
11373,115000
11373,178873
10027,64720
10038,79285
11101,60000
10455,18.02
11201,224749
11101,186555
10016,81535
11373,82500
11101,68499
11373,70000
11101,67523
11373,79726
10004,83151
11201,75000
11373,91347
10007,56272
11373,66636
11201,150000
10016,76516
10038,42799
10004,104182
11101,62549
13755,91347
22314,121497
11373,43465
10016,29
10007,81535
10038,42799
10271,61504
10038,55430
11101,70000
NA,92249
11101,81535
10007,93737
10013,44853
11373,178873
10038,135000
11201,208298
11377,84906
10004,52524
10007,75000
11362,94983.12
10007,150000
10013,44853
10038,42799
10013,14.85
11201,1.00E+05
10007,81535
10038,67000
NA,202744
11373,118610
11373,113725
10007,1.00E+05
11101,80000
11377,80000
10007,60403
10007,135000
11101,78211
11373,63728
11201,115000
11101,17.9
10038,53000
10038,80000
10038,145950
11373,140000
10595,113725
11373,91347
11101,68181
11101,80829
11373,71794
11101,91045.08
10004,104182
11101,66247
11373,178873
11373,79726
11101,70200
11222,91347
10016,101853.72
11201,120000
NA,47142
10035,69987
11378,70045
10004,104182
11101,70353
13755,58269
11373,80000
10038,39.5725
11373,120000
10007,95522
10307,71502
11370,54147
11373,113725
10004,72000
10038,103044
10007,95000
NA,36.93
11101,70353
11101,91800
10001,115000
11101,120960
10038,60000
10007,64307
11201,217244
10128,19
10038,65000
11373,1.00E+05
10038,80000
11201,102388
11370,50763
10007,115000
11106,75349
11373,95270
10038,42799
10038,85000
11101,82644
10016,75900
10007,40629
10007,90000
11101,57916
10025,72877.32
11238,97873
10038,69000
10007,202744
11101,91800
11222,60659
10038,90000
10038,112000
10013,68499
10065,48468
10038,76000
10033,45.49
10038,17.9
11201,68264
11373,73124
11101,144145
NA,145000
10038,55000
10004,46669
11373,91347
10038,85335
10007,80000
,91347
11370,95000
11101,161497
10038,55430
10038,62577
10038,71794
10007,98133
11201,127966
11222,40629
NA,178873
11373,83500
10038,51500
65804,91347
10007,60403
10004,70457
10467,97379
11201,50000
NA,40.79
10007,56387
10035,69987
10271,61504
10016,93904
11101,108657
11373,161497
85003,70353
11373,91347
10013,87295.32
10007,75355.92
10038,95022
11201,90000
11101,60403
11201,1.00E+05
11101,120960
10007,62315
11101,160382
11373,150371
11101,106222
11373,52000
10007,160000
11373,125000
10004,135000
11373,79726
10001,226366
10038,87069
10038,37.22
11101,168433
11214,40.3
10007,66875
11101,81535
10038,107770
10007,95000
10013,51049
NA,47719
10038,42799
10007,110000
10004,67556
,89942
11435,73576
11373,94549
10301,149190
11373,97873
52404,104182
10271,79901
10038,95022
11101,68181
10301,46329
11101,88213
11373,78944
11101,161497
10007,92704
11373,156829
11101,92700
10038,55000
11101,67614
11201,102388
11101,56960.92
10007,76275
11432,97000
10039,43079
10004,81535
11373,57958
10007,130000
10016,65360
10038,130000
11373,134433
11101,96000
10038,76275
11373,144413
10013,51049
11373,66636
11101,144268
10013,87295.32
11101,81535
7751,178873
11101,60403
11101,61936
11373,40.3
11101,52445
11373,52000
10007,54879
11373,97873
10007,65433
10007,68244
11101,89634
11201,116391
10038,61466
NA,110000
10007,74479
10007,85000
10038,55000
11101,101853.72
NA,74482
10016,140000
11101,80339
10301,79741
10007,65000
11373,150371
NA,40.48
7751,60926
11221,66960
NA,78177
11206,51049
11373,71794
11101,19.62
10038,50000
10038,50000
10301,79726
10007,75000
11201,62370
11101,88000
11101,97659
11101,92001
10038,81535
10013,43879
64161,101848
10038,42799
11101,88000
10007,75000
11377,28.0739
1373,91347
10038,17.9
10007,108345
11201,66000
10009,61000
NA,81535
11101,91.53
10007,85000
13755,58269
10007,65000
10007,50000
11201,58863
11201,125000
10038,10.36
11201,80000
10007,65000
10001,120000
11101,67000
11101,81000
11373,36.0411
11370,50763
10038,90000
22314,113494
10007,55157
10016,62272
10007,30.0378
10007,75000
10007,202744
11101,108657
11373,78211
10007,125000
10038,110000
10007,1.00E+05
10007,60660
10013,91199
11373,79726
NA,81798
11373,134433
10016,39170
11222,62446
10004,110000
11373,63728
11373,150371
NA,82395
10004,113725
11101,230000
10016,54967
11101,141865
10462,76737
11366,44.82
11102,57164
10007,82000
11373,168433
10038,50000
11373,141865
10007,79741
10004,40962
10004,60990
10301,46329
11101,81535
11201,100296
11373,104182
11201,32.0487
10007,110000
11370,99394
11373,104182
11101,161497
10013,97200
10038,123600
10038,150000
12461,91347
NA,53619
11205,186555
10038,17.28
10038,105000
10007,97873
10451,94092
10038,70000
11101,35.58
10007,56272
10007,56272
11377,72016
10007,53300
11101,69042
11373,161497
11101,68499
11379,75591
10007,50000
11101,66636
10004,104182
10038,60000
10065,19.3534
10065,19.3534
11368,80000
10038,95022
11377,54018
11368,91000
11101,88000
11101,91499
10007,1.00E+05
11201,110000
NA,78177
11354,81798
11373,60000
10038,65000
11377,85000
11238,57236
11101,91045.08
11201,13.5
10004,17.9
11373,63456
10007,83500
11101,76695
10004,70000
10038,62000
11101,56860.92
10013,51049
10016,145991
10007,135000
11101,60000
,57958
10007,350.32
10007,89634
10007,75000
10007,70000
10004,81535
11373,52000
11101,61936
10016,68377
10595,55870
10271,68000
10004,74049
64161,224749
11101,79695
11201,102388
,91347
11201,217244
10038,17.9
10016,62272
10038,42799
11430,54879
11201,45424
11101,110000
10007,65433
10007,126575
10038,65485
11101,24.74
11373,51800
11101,141865
10035,67206
10001,115000
11101,60000
10038,42799
11373,51765
10038,71000
10038,50000
11101,108087
11101,88824
10038,103000
11373,41675
10004,104182
11101,67556
7751,178873
11101,101853.72
11432,78177
11101,108087
10038,61466
10038,120000
10004,82377
NA,40.48
10007,135000
10307,55870
10038,97000
30303,75000
10007,156829
11373,122925
11201,100309
11373,198518
11101,37.4926
10007,80000
10038,109153
11101,45200.16
11101,15.5
11362,94983.12
10038,61280
10007,74000
10007,44142
10007,105000
11201,95000
11201,103000
11201,58863
11373,118610
10007,156829
11373,363.92
11101,25.8
11370,99394
13755,91347
11373,104182
10038,70000
11101,68499
11101,62549.28
10007,88062
10301,65000
10038,97000
10038,95000
10301,52000
11101,79695
11101,217244
11373,89942
11201,95077
11101,84301
10007,99406
11373,134433
11201,66748
10522,17.9
10004,105000
NA,74482
11373,104182
7751,80000
10007,54634
10128,19
10038,89638
11222,58727
11101,78.59
11101,17.9
11373,104182
10016,122000
11222,59534
11201,95000
11101,104182
10304,71502
10029,44238.96
10038,81535
11101,108087
11241,54000
11377,322.4
11201,77000
11101,97850
10007,90000
10006,202744
11101,70200
11373,57720
10007,150000
10010,42505
10007,160000
11101,154118.16
11101,106222
10038,17.9
10007,97803
11101,81000
11417,83151
10002,72684
10038,150371
10038,82455
10007,60611
11101,23.76
11101,108000
11101,90000
10038,65000
10522,17.9
10007,125000
11201,102600
11101,37.4926
11373,91347
10007,80000
11101,144413
10038,60000
11373,120000
10007,149190
10007,150000
10016,65455.56
12461,104182
11201,409.78
11101,72224
10013,81798
10004,98000
10457,81498
10007,65000
10007,78000
10038,34238
10007,110000
11101,84376
10038,50000
10038,42799
11236,33.9
11101,87000
11201,98696
11101,81000
11101,81535
11432,58688
11432,58688
11101,62549
11368,46941
NA,81798
10038,90000
10271,84301
11101,68040
10038,87400
10004,81535
10004,55170
11373,89638
10038,55430
11201,150371
10038,46000
11101,52445
11373,125000
10004,70000
10004,91347
11373,78177
10007,58688
11101,95270
10038,61280
22314,85029
11201,186555
11101,144413
10007,80829
11373,144413
11201,68834
11101,61341.84
10007,180000
10007,80000
11222,25.0733
11417,389.97
10004,101848
10016,55379
10004,67000
11373,53170
11373,134433
10004,68750
11373,150371
11373,161497
11101,161497
10007,75000
11222,60023
10022,56832
11201,83591
10038,110000
10007,88213
11373,79726
11101,14.5
11201,88000
11373,79726
11101,95270
10038,51360
11368,81535
11215,91000
10007,30.0378
10007,160000
10038,55000
10065,182000
10065,182000
10007,60000
10004,79726
52404,130000
10007,90000
NA,58338
11101,70756.2
10033,45.49
11101,108000
11101,118610
10016,46747
10007,65433
10007,165000
10004,92001
11101,102600
11101,65678
10453,74183
11373,81535
10001,115000
11101,80000
10007,62424
12401,110000
10016,78999.84
10001,135000
11373,76677
10038,58000
10013,51981
10007,77115
11373,65000
10007,33.1544
11101,67500
10004,88213
11101,116126
10013,61341.84
11373,77401
11101,141865
11101,19.9
10271,60403
10038,47000
11101,125000
11435,73576
11373,150371
11101,106222
10007,75000
11101,108657
11373,72246
11101,83151
11373,113725
10016,52041
10013,91199
10001,74479
11373,52000
10013,48253.32
10007,180000
10075,62000
10075,62000
11370,36.5896
10004,101848
11101,161497
10004,83151
10016,55000
11101,65439.36
10007,82776
11101,144145
11373,194395
10007,15.3
10004,118610
11373,40.3
10007,150000
22102,91347
11101,65000
11101,87000
11101,72360
10007,48115
11201,175000
11101,72360
11201,80000
11373,91795
11373,186555
11373,77404
11373,103332
11222,32918
11373,173000
10007,150000
11373,104182
11373,79726
10013,51049
11101,109007.64
10458,21.19
10038,19.9186
94704,161497
11373,51765
10038,32918
11207,70808
10004,97873
10038,92308
NA,86194
10016,62272
11101,65678
11201,95077
10007,65433
11101,136563
10013,51049
10016,92079
11373,52000
10004,95000
NA,178873
10007,45000
10035,64040
11373,52000
11205,91347
10007,78177
11373,190000
10038,42799
10013,48253
10007,1.00E+05
10016,49291
10007,75000
10004,17.9
11201,82030
11366,44.82
10038,55000
11201,98163
10007,202744
11101,154118.16
11101,156793
11370,38.7868
10007,120000
11101,161497
11101,95270
11201,123600
10013,194395
11101,45900
10038,60000
10038,70000
10004,17.9
11373,57958
11377,84906
11101,64800
10004,90056
11373,134433
10038,98163
10456,61560
11101,70756.2
11435,81798
10038,50000
10004,54000
11101,83151
11373,178873
11373,161497
11373,60000
11373,79741
11201,60375
10038,65000
11101,136023
11201,36309
10035,64040
11373,104182
10038,61984
10038,42799
10007,135000
10007,70000
10038,70000
10038,50000
11373,63728
10019,322.4
10038,90000
11201,68000
11201,80000
11373,83151
11417,83151
,88213
10038,67000
11373,52000
10001,120000
11221,103332
NA,208298
11101,74183
NA,80117.64
11432,20.7739
10016,130939
10038,50000
10038,41000
11101,136023
12401,110000
11370,38.7868
10004,72000
11101,15.5
,89942
11201,73986
10460,53619
10457,107770
11435,21.19
10301,69933
10004,83151
11373,91795
11201,102600
11212,81798
10016,65455.56
10009,72000
10038,17.9
11222,46898
10038,125000
NA,53619
11373,76677
10004,60403
10038,50000
11201,60000
11201,95000
10595,101848
11373,49035
11101,156829
10035,80000
11101,91347
11201,110000
11373,69493
11370,35795
10007,17.9
10007,120000
10001,80000
10007,60000
10007,95000
10038,17.28
11373,136023
11101,66667
10013,51049
10004,60000
11370,120000
11201,113300
10038,34.06
11373,134433
10004,120000
11101,60.94
11373,71794
11101,54518.4
10595,93197
10038,70353
11201,55000
11373,150371
11373,101148
10007,137637
11101,83151
11215,91000
11101,17.9
11101,23.9
11373,83151
11373,79726
10013,87295.32
10474,57164
11201,55000
11101,161497
11101,45123
11373,104364
11201,120000
11377,28.0739
10013,81798
75225,101848
11201,66000
11101,104182
10271,79901
10004,58927
11201,54879
11101,113725
10038,120000
10007,70000
10007,115000
10038,10.36
10019,322.4
11201,110000
11101,70756.2
11432,149190
10460,61936
NA,178873
11373,118610
10004,114954
11201,1.00E+05
10004,67556
11373,70353
10451,31.3279
11373,91347
11201,134914
11201,47824
10004,88880
10007,95317
10038,65000
11101,17.9
10007,41844
NA,40.79
NA,65439.36
10038,88649
11203,63456
10038,17.9
10007,82776
11101,60897.96
10038,42799
10007,140000
10007,65433
10007,81535
11101,65360
10013,17.9
10016,54967
,57958
10007,54176
11373,86238
10038,61936
11101,64800
10038,81535
11373,58478
10038,103000
10007,178873
10038,76399
10007,31.3279
11433,55870
10007,58162
10016,17.9
11101,92001
10007,75000
71106,95214
11101,161497
10038,81535
11201,1.00E+05
10038,67568
11373,61104
11101,81535
10007,120000
10038,65000
10038,37.22
11101,17.9
11101,95442
10001,54580.32
10007,58162
10016,67485
10038,42799
11432,149190
11373,79726
11101,125000
10038,52148
10004,60403
11101,108000
11373,63728
10004,81535
10007,80000
10004,44280
11373,110413
11373,134433
10038,42799
10304,55870
10004,148000
11101,35.58
11101,110000
10004,17.9
11201,121363
11373,115000
11101,99394
10038,123600
11101,178873
11201,62000
10016,84301
11201,116126
11373,74479
11373,54879
11101,92001
10280,82500
11101,105000
10004,78.59
11101,95270
NA,186555
10595,113725
10016,97873
11236,33.9
11201,98163
11101,156793
10038,39.5725
10007,109669
NA,86194
10007,58162
10016,49291
11201,66748
11201,71300
10038,50000
1373,91347
11373,79741
10013,17.9
11201,85000
85003,70353
11373,161497
10301,135000
10301,57161
11101,15.5
11101,95270
11101,101853.72
NA,95214
11101,70200
10007,60403
11229,73576
10004,81535
10004,59863
10004,59863
10007,65000
22314,109000
10461,41830
10038,75000
11101,93960
10004,81321
10013,38956
10004,67556
11373,38.05
11373,72535
11417,389.97
11373,173000
11212,66258
10007,130000
11101,144413
10038,65000
11101,60223
11201,116126
10013,20
11101,68499
10004,89638
11373,70113
11101,85000
10013,67542.12
10038,62000
10007,78177
10038,79000
10004,104182
11101,74479
11101,76275
10007,60000
10007,95000
10004,104182
11101,85000
11201,59872
11212,44238.96
11101,23.9
11101,87877
10013,61341.84
10004,113725
11370,120000
11101,81535
10007,95000
20005,60223
11101,66890.88
11236,15
11236,15
10007,140000
11101,47142
11373,90000
11101,24.74
10016,75000
11101,81535
10016,74930
10038,65000
11241,79169.4
11201,65449
11373,83151
10038,17.9
NA,20.12
10004,68750
11101,116126
10016,51993
11101,102600
10038,55000
10007,44000
10029,32665
11205,97360.83
11373,63728
10038,69576
10013,75355.92
10007,137637
11101,103723
11373,51765
10007,85000
10007,80000
10013,14.85
11373,120000
10038,50000
10013,39611.16
11373,71794
11201,120000
10016,65455.56
10038,68181
10004,95270
11373,60023
11101,19.9
11101,75000
10004,82377
10013,70740
10004,52524
11101,60447
11101,23.9
11222,334.08
10007,65433
10007,23.215
10007,95000
10474,322.4
10013,150371
11101,76030.92
11373,194395
11373,51800
11101,17.9
11373,134433
,55870
10007,118000
11101,78429
11101,141865
10007,71436
11101,61560
10301,69933
10016,35098
10016,35098
10007,83440
11101,17.9
10035,67206
11373,156793
10280,82500
11101,84301
11373,115000
11101,81000
11101,56860.92
11101,97873
11373,75083
11101,141865
10007,98133
10001,17.9
10016,52498
11101,141865
10004,113725
11373,78859
10004,81535
11101,75600
10016,72816
10007,62834
10013,43879.32
10304,35167
11370,85029
,79726
11373,72246
11373,134433
10038,34.06
11373,110000
10007,160000
11101,64800
11373,64927
10038,112000
10007,58716
,156793
11101,161497
10455,59000
10016,54720
11373,156793
11354,81798
10038,60403
10007,68244
22314,109153
10007,33.1544
11101,66247
10038,82377
NA,69665.4
11368,80000
11368,80000
10007,48115
11370,75591
11201,52629
11101,85053
11377,322.4
10007,54879
46205,41675
10016,56690
10038,90000
10007,115000
11377,276
11370,110000
11373,108657
10457,41675
11373,40.3
10007,75591
10016,78177
10035,55.71
11101,217244
11201,68000
11201,113300
11370,110000
10007,60000
11101,67604
11101,80829
11373,113725
11214,322.4
NA,92249
10007,17
10023,98274.33
11101,76695
NA,53619
11378,373.03
11201,55000
10007,145000
11101,106222
10007,33
46205,41675
11201,54846
10013,67542.12
10038,88000
10007,72000
11101,86400
11377,389.97
10007,15.5
11201,90000
11377,54018
10007,110000
11373,82500
11101,74183
11373,68000
10004,79726
11373,1.00E+05
11373,91795
11201,95000
11214,322.4
11201,111598
11417,343
11417,343
10007,80000
11101,87295.32
10307,89942
11201,84000
12765,105000
11101,85029
10457,46090
11101,65000
11101,23.9
10007,65000
NA,194395
11101,102600
11101,46222.92
11373,194395
11373,178873
10007,31.3279
11101,68499
10038,80996
10004,113725
10007,59853
10004,45288
10007,145000
11373,41675
10004,83500
10004,60000
11373,63728
10038,70000
11212,70808
11373,141319
11373,47016
11373,80000
10007,17.9
10013,97200
11201,36309
10451,61936
11373,194395
11101,84301
11101,84301
10038,78177
10007,178873
10038,95000
11373,168433
11101,74479
11432,81096
10038,70000
11373,75000
10007,19.9
10007,15.3
11238,79741
10038,87550
10016,95821
11373,83151
11229,47142
10038,85644
11101,51981
11101,97850
11101,65439.36
10007,78177
10035,55.71
10038,89638
10016,51993
11101,88213
10038,81535
10271,65000
11373,103332
11101,150371
11101,91000
11373,185000
10013,61341.84
10038,19.9186
10457,81498
10038,81535
11201,108000
11101,68499
10004,17.9
11373,161497
10038,76399
10013,66875
11101,78840
11101,68499
11201,102000
10007,62315
11221,81535
10038,95022
10007,80000
11373,71794
11373,70113
10004,113725
10006,61936
10007,48115
NA,194395
11101,85000
10007,50000
11373,190000
NA,19.9
10038,81535
10038,80292
10038,50000
10038,65000
11201,45766
11101,106222
11201,121363
11432,91.53
11101,79267
11373,79726
10007,50876
10004,88213
10038,50000
10004,65360
10027,64720
11373,79726
10004,103952
10595,55870
11373,156793
10038,53000
11201,121363
11354,66195
11354,66195
11368,91000
11368,91000
11101,97873
10007,80000
10038,57362
11373,89942
11241,54000
10271,70000
10595,144413
10025,72877.32
11373,120000
11373,118610
11432,81096
10007,54176
10016,61280
11101,79695
11373,63728
11201,150371
11373,41675
10038,42799
10458,76737
11201,145991
11101,75349
11101,134433
11373,156829
11101,60990
11373,79726
11373,134433
10016,385
11222,334.08
11377,276
NA,91.53
11373,105094
10038,90000
11205,91347
10016,57134.16
10016,122000
11373,68423
11373,79726
10007,72535
11101,134433
11373,64357
10038,76745
11101,150371
11373,91347
10038,55000
11101,68499
11101,60897.96
10001,115000
10016,17.9
10038,42799
11373,134433
10004,104182
11373,104182
10007,60000
11101,102600
10001,57164
11373,72246
11101,186555
11201,105000
11373,73124
11373,61104
65804,91347
10038,61280
10271,135000
,65000
11373,75651
11201,1.00E+05
10016,74356
NA,29.7789
11373,52000
10001,130000
11236,33.9
11236,33.9
10004,62000
11373,134433
11222,58727
10038,75651
11222,46898
10004,136023
10595,95270
10038,70000
10007,120000
10013,57236
11373,178873
11373,130000
10007,74000
NA,202744
11101,61341.84
10007,95000
10038,65000
11373,72246
10004,95270
10007,80000
11373,150371
10007,165000
11432,64406
11373,75000
11101,161497
NA,194395
10004,95000
11101,109153
11101,101854
11370,90000
46205,44974
11101,70000
11222,60659
10035,64040
11101,66667
10038,98000
10038,87069
11101,106786
11373,134433
10007,19.9
10038,130000
10007,75000
10038,42799
11101,109153
11222,59534
11201,208298
11373,104182
10013,57236
11221,66960
10007,130000
11101,45900
11205,53.29
11101,161497
10007,81535
11101,55.75
11209,31.1801
11101,91347
10004,113725
10007,50000
11101,87295.32
10007,90000
10007,31.3279
10451,149190
10007,75000
10038,85000
10007,72500
10038,65246
11101,102600
10007,115000
11101,97873
11101,17.9
7751,178873
10007,65433
95833,91347
10007,78177
10007,55000
11221,103332
11201,71300
10004,89638
11373,79726
11377,92001
11101,168433
11238,41036
10007,1.00E+05
10007,66591
11373,134433
10007,44000
11201,186555
11101,55170
10007,90000
10038,89638
10004,81321
10038,65429
11201,125000
11373,91347
10016,120000
11222,60659
11373,89634
11212,22.91
10038,61984
10007,40629
10004,17.9
10013,48253.32
11201,145991
10001,115000
10038,18.03
10016,64014
11101,127440
10007,84301
11201,120000
11101,60000
22102,91347
11373,55170
11101,74183
95833,73124
11101,57916
10007,75000
NA,70756.2
11101,106222
10038,76399
10451,149190
11201,1.00E+05
10004,98000
10038,89008
11101,65360
10004,81535
11101,124200
NA,136023
10004,40962
10038,61936
11101,17.9
11101,83151
10038,52148
10035,79726
11373,83151
10038,94478
11201,102388
10007,90000
11209,31.1801
10075,62000
10004,78000
10038,17.9
10038,70000
10016,130939
10038,67568
10007,91000
11373,178873
10007,105268
10007,58688
10007,58688
46250,322.4
10038,65000
10013,51049
10451,56272
10451,56272
11201,176000
10016,83362
10007,110000
10038,42799
11373,186555
10007,90202
10007,56387
10007,75000
11201,224749
11201,81000
11101,71794
11370,110000
,51765
10004,83151
10458,76737
11201,61334
10038,81535
11222,17.9
10038,90000
10004,79726
11201,99161
11236,15
10004,113725
10007,95000
11101,144413
11101,62549
11373,70353
11101,67556
10016,64014
10001,54580.32
11377,80000
11201,104364
11236,276
11101,78177
11373,136023
11101,66890.88
10007,165000
11201,176000
NA,40495
10007,72500
11373,120000
10007,19.6178
10307,113725
10007,50000
10004,70457
10038,92308
10038,145950
11373,87443
10016,120000
10038,85000
11201,111431
11101,17.9
11373,68423
10271,65000
10016,29
10007,110000
10007,75355.92
10035,87489
10038,42799
11101,118610
11201,60000
10001,1.00E+05
11201,140000
11101,135000
11101,17.9
10007,70000
11373,40.3
10038,88000
10007,90000
11101,65678
11101,68499
10004,60000
10457,57164
11101,83151
10271,68000
10007,175000
NA,51049
10007,65433
11201,127966
10457,28.78
11101,61339
10457,46090
10038,105000
10004,54000
11373,89942
11101,161497
11101,95782
10035,69987
10038,112000
10001,64662
10038,95000
10007,80000
10025,24.74
10007,76275
11101,23.9
11201,140000
10007,60403
11373,74479
11373,78177
10004,98000
10007,55000
10301,70000
11101,62549.28
10016,72000
10016,65429
11373,60023
10038,145950
11373,134433
10038,110000
11373,178873
NA,36.93
10029,44238.96
10013,51049
10007,61863
10038,95000
10460,61936
10007,130000
10007,19.6178
10301,57161
11201,95896
11373,57958
10065,73000
10065,73000
10038,38.46
11201,120000
NA,55000
90022,90153
10301,65000
10314,66109
10038,85143
11354,81798
,88213
11101,83151
11101,108087
11201,150371
10038,67523
11432,65235.24
11373,134433
10006,61936
10004,61936
10038,80000
10016,102000
10013,150371
11101,107991
10038,60000
10007,80000
22314,85029
10007,133900
11201,120000
11101,43152
11101,117983.52
10004,136023
11373,61104
10001,115000
11101,126575
10603,62308
10603,62308
11101,55.75
11370,85029
10007,125000
10474,322.4
NA,47142
11201,92700
10002,72684
10007,120000
10007,115000
10009,61000
52404,104182
10007,64412
11373,89634
10038,130000
10007,70000
11241,95040
11101,150371
11354,76737
11101,64800
11203,63456
10025,46374
11101,91850.76
10013,150371
11373,113725
11101,130036
11101,86400
11377,85000
11101,91045.08
11373,79726
10007,69000
10301,79726
10038,65000
11368,51250
11101,47645
11101,68040
10038,53.85
11373,94549
11101,66247
10038,76275
11101,75600
10007,78000
11101,70000
11201,77000
12740,60447
10038,95000
11373,194395
11373,89942
11373,178873
NA,78.59
